Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Male,Los Angeles,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3
Scott Allen,scott22@example.org,scott22,1978-07-08,Male,Charlotte,2024-01-07,2025-01-06,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7
Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Female,New York,2024-04-13,2025-04-13,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8
Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Female,Houston,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7
Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Male,Los Angeles,2024-02-14,2025-02-13,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1
Sandra Cox,gparks@example.org,gparks,1954-09-19,Female,San Antonio,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2
Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Male,El Paso,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10
James Smith,adrienne49@example.org,adrienne49,1946-10-04,Male,New York,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6
Bradley Green,brittany02@example.net,brittany02,1950-12-24,Female,Houston,2024-04-09,2025-04-09,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8
Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,Male,Denver,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6
Douglas Hampton,tonya16@example.com,tonya16,1997-11-28,Female,San Francisco,2024-03-24,2025-03-24,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4.0,1
Andrew Gomez,brian80@example.org,brian80,1952-09-08,Female,Seattle,2024-03-07,2025-03-07,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6
Kevin Mayo,hochoa@example.net,hochoa,1981-11-18,Female,Philadelphia,2024-01-10,2025-01-09,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0
Gregory Thomas,egriffin@example.com,egriffin,1989-08-17,Female,San Francisco,2024-01-07,2025-01-06,Annual,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0
Melanie Burns,meyerstacy@example.net,meyerstacy,2003-04-07,Male,Houston,2024-02-23,2025-02-22,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10
Brittany Crane,jasonbowers@example.org,jasonbowers,1993-03-19,Female,El Paso,2024-01-03,2025-01-02,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5.0,0
Robert Gonzalez,cday@example.com,cday,1952-05-02,Female,Columbus,2024-03-25,2025-03-25,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3
Mindy Baxter,phumphrey@example.net,phumphrey,1978-11-16,Female,Houston,2024-01-23,2025-01-22,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6
Michael Smith,paige55@example.org,paige55,1945-08-30,Female,San Jose,2024-01-27,2025-01-26,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6
Joseph Owens,christopher25@example.org,christopher25,1979-09-29,Female,Charlotte,2024-03-15,2025-03-15,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2
Devin Wolf,jacobrobinson@example.com,jacobrobinson,1956-07-05,Male,Indianapolis,2024-03-15,2025-03-15,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6
Heidi Brock,karen47@example.org,karen47,1967-02-17,Male,Houston,2024-01-15,2025-01-14,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2
Tracy Hardin,ronald82@example.net,ronald82,1996-02-13,Female,Nashville,2024-04-14,2025-04-14,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7
Maria White,castillokatie@example.com,castillokatie,1968-06-19,Male,Los Angeles,2024-03-26,2025-03-26,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0
Eric Johnson,lgreer@example.org,lgreer,1994-10-02,Female,Denver,2024-01-18,2025-01-17,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4
Kenneth Jones,glen97@example.net,glen97,1986-09-22,Female,Charlotte,2024-02-12,2025-02-11,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7
Joel Cole,nyates@example.com,nyates,2005-03-29,Male,San Diego,2024-02-19,2025-02-18,Monthly,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0
Brittany Noble,carol56@example.com,carol56,1976-11-05,Male,New York,2024-01-26,2025-01-25,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3.0,9
Shelley Lopez,rodneyroberts@example.com,rodneyroberts,1967-07-05,Female,Oklahoma City,2024-01-07,2025-01-06,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,4.8,7
Stephen Perkins,julie52@example.com,julie52,1976-09-16,Female,Los Angeles,2024-01-31,2025-01-30,Monthly,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9
Christopher Davis,urobinson@example.net,urobinson,1955-09-19,Male,New York,2024-02-25,2025-02-24,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10
Rodney Jones,zfrost@example.net,zfrost,1967-10-14,Female,New York,2024-01-03,2025-01-02,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9
Cheryl Johnson,louis25@example.com,louis25,1995-03-28,Male,Houston,2024-01-22,2025-01-21,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.3,4
Whitney Underwood,ujones@example.com,ujones,2002-07-23,Female,Boston,2024-03-30,2025-03-30,Annual,Mastercard,Auto-renew,Regular,Electronics,Horror,Smartphone,Low,4.5,10
Cheryl Bradley,jesseforbes@example.org,jesseforbes,1933-05-11,Male,Chicago,2024-04-05,2025-04-05,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6
Carrie Smith,scottjohn@example.com,scottjohn,1991-07-03,Female,Charlotte,2024-01-17,2025-01-16,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10
Ryan Nunez,silvamichael@example.org,silvamichael,1944-10-26,Female,San Jose,2024-02-16,2025-02-15,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.1,6
John Wood,maxwellanthony@example.net,maxwellanthony,1975-07-23,Female,San Diego,2024-01-23,2025-01-22,Annual,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.5,7
Rachel Holmes,maryjones@example.com,maryjones,1955-07-06,Female,Los Angeles,2024-03-25,2025-03-25,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,High,3.2,8
Terry Powell,reyesjennifer@example.com,reyesjennifer,1981-03-19,Female,San Diego,2024-02-04,2025-02-03,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Tablet,Low,4.2,5
